ResortWixID,LiftpassWixID
550d4f97-cdab-4991-a753-60f25bf9df44,3c0d199b-d494-4d5d-a60c-e8e2633ca653
b62e1ad7-2029-4fe4-bf43-f74afa05c786,3c0d199b-d494-4d5d-a60c-e8e2633ca653
c6a4359b-aa93-45f8-836c-5dfb31ecf368,3c0d199b-d494-4d5d-a60c-e8e2633ca653
2f091013-a0f1-4183-b486-414f2a492b56,c8515cc6-6689-41ab-a431-d2e313cbb279
bf1645c1-2ab5-4603-9173-68055bb3e168,c8515cc6-6689-41ab-a431-d2e313cbb279
0d4b3fdd-cfed-43a9-a0c0-9d6a645284c3,c8515cc6-6689-41ab-a431-d2e313cbb279
19484c6d-4843-4f9d-847f-b039879752ae,c8515cc6-6689-41ab-a431-d2e313cbb279
3f21d487-ce04-4da5-84a7-e209e17111d9,c8515cc6-6689-41ab-a431-d2e313cbb279
23444c84-4a8e-4b8c-80f7-ef44c0375b26,c8515cc6-6689-41ab-a431-d2e313cbb279
7c2a5a70-4bca-4a66-9db5-6d678305764d,c8515cc6-6689-41ab-a431-d2e313cbb279
553f4a82-bb78-4f65-88f5-95e6e42304a2,c8515cc6-6689-41ab-a431-d2e313cbb279
4219ba2a-1094-40f1-bb9f-474955995bd9,c8515cc6-6689-41ab-a431-d2e313cbb279
96421806-2a1a-412c-a011-abba92c2e2f3,c8515cc6-6689-41ab-a431-d2e313cbb279
8d242089-c7c8-4644-83b4-7b8b01d6c949,c8515cc6-6689-41ab-a431-d2e313cbb279
fd287aef-0b89-40f0-9df4-88e9b906176f,c8515cc6-6689-41ab-a431-d2e313cbb279
cfa58171-dfee-416c-820c-338979a347b5,c8515cc6-6689-41ab-a431-d2e313cbb279
1bc404fa-f713-4222-9bc5-5f12560351ba,c8515cc6-6689-41ab-a431-d2e313cbb279
649be060-6f22-4b6b-8d84-26ac5b93e966,c8515cc6-6689-41ab-a431-d2e313cbb279
71daf172-fb27-4709-a9e1-1e3be8e47169,c8515cc6-6689-41ab-a431-d2e313cbb279
873e8841-2a21-4906-9ecc-530ff9361824,c8515cc6-6689-41ab-a431-d2e313cbb279
88252fc1-0607-4954-9c0b-ce8ae528b2c9,c8515cc6-6689-41ab-a431-d2e313cbb279
d4e1dd92-45f1-44be-a307-aa93e681abe6,c8515cc6-6689-41ab-a431-d2e313cbb279
2b29f572-09c5-47b8-b313-67d58c289263,c8515cc6-6689-41ab-a431-d2e313cbb279
6e682eb8-162f-4280-962e-c9d440874824,7da7c4c3-5166-4770-be0b-cb1c0a49649b
7f2389fc-214c-4bbd-b2c5-64447f0b5fff,7da7c4c3-5166-4770-be0b-cb1c0a49649b
4f4e1b0f-8e05-4c3a-bc4b-34f0ff1f2dd5,7da7c4c3-5166-4770-be0b-cb1c0a49649b
7738ed81-b23a-4cf3-808b-cb490d66d083,7da7c4c3-5166-4770-be0b-cb1c0a49649b
eeff41e7-ab07-426c-be72-f66e605d0b30,7da7c4c3-5166-4770-be0b-cb1c0a49649b
7ed66f70-02f7-4ae9-80a1-62456e688116,7da7c4c3-5166-4770-be0b-cb1c0a49649b
f775cb3c-05cc-4243-a57a-ede9a76d81e1,7da7c4c3-5166-4770-be0b-cb1c0a49649b
4eabd172-2192-476c-9de9-74d54bd4c622,7da7c4c3-5166-4770-be0b-cb1c0a49649b
38ab021d-04a2-46ae-a5ae-46723862ef9f,7da7c4c3-5166-4770-be0b-cb1c0a49649b
550d4f97-cdab-4991-a753-60f25bf9df44,7da7c4c3-5166-4770-be0b-cb1c0a49649b
b63680b5-34e9-401b-8b59-159e3b2cbd26,7da7c4c3-5166-4770-be0b-cb1c0a49649b
0c798f5f-1dd1-4720-8c98-4327672f7ca2,7da7c4c3-5166-4770-be0b-cb1c0a49649b
8a858fd8-7c48-462f-a292-b68a38582f52,7da7c4c3-5166-4770-be0b-cb1c0a49649b
09668a89-ffd7-4638-abb5-4e079b4858c7,7da7c4c3-5166-4770-be0b-cb1c0a49649b
b62e1ad7-2029-4fe4-bf43-f74afa05c786,7da7c4c3-5166-4770-be0b-cb1c0a49649b
b5103af6-1755-463b-b363-6464a04dc93f,7da7c4c3-5166-4770-be0b-cb1c0a49649b
12c1bd32-a841-44b5-8c3f-21b46bf39dff,7da7c4c3-5166-4770-be0b-cb1c0a49649b
ab9ccb78-f835-4cfa-8660-f29c17d30926,c8515cc6-6689-41ab-a431-d2e313cbb279
2d1f228f-392e-4e75-a29a-36228e4abacc,c8515cc6-6689-41ab-a431-d2e313cbb279
be4eb159-e78d-4d6c-828c-a7a77c3fa3b5,c8515cc6-6689-41ab-a431-d2e313cbb279
7b9c9893-8834-4f7a-bc4b-4c42296a18d1,c8515cc6-6689-41ab-a431-d2e313cbb279
9369c3d5-258b-47fe-acf4-b3d961775035,c8515cc6-6689-41ab-a431-d2e313cbb279
378917bb-c645-4b67-a3f2-56480f4f30e3,c8515cc6-6689-41ab-a431-d2e313cbb279
ac7527a8-de65-4543-8e90-d7700e95fe26,c8515cc6-6689-41ab-a431-d2e313cbb279
135c9e12-f122-4242-a3b8-cbd9ef7bb8de,c8515cc6-6689-41ab-a431-d2e313cbb279
31a486fb-088d-4fc2-bb96-5b3901e9a37c,c8515cc6-6689-41ab-a431-d2e313cbb279
92dcfc96-b18c-4762-ad39-ec5d4073dec1,c8515cc6-6689-41ab-a431-d2e313cbb279
6f5e1e62-98b6-4dbb-b0e1-788fd8014744,c8515cc6-6689-41ab-a431-d2e313cbb279
8f742ace-a640-4ba4-ab75-6837c113926f,c8515cc6-6689-41ab-a431-d2e313cbb279
16e4551c-6769-454f-82ca-3d6b4c7a52e7,c8515cc6-6689-41ab-a431-d2e313cbb279
04a85b8d-d9f9-4b9f-90e7-14287054a030,c8515cc6-6689-41ab-a431-d2e313cbb279
7ed66f70-02f7-4ae9-80a1-62456e688116,3c0d199b-d494-4d5d-a60c-e8e2633ca653
12c1bd32-a841-44b5-8c3f-21b46bf39dff,3c0d199b-d494-4d5d-a60c-e8e2633ca653
78d7c090-9cc0-46a2-8c5c-6e5bf350dd2b,3c0d199b-d494-4d5d-a60c-e8e2633ca653
3359884f-9730-4c15-9c21-506c3064e607,3c0d199b-d494-4d5d-a60c-e8e2633ca653
d69dafa7-b85c-4f04-b823-5b16aafeb5e3,3c0d199b-d494-4d5d-a60c-e8e2633ca653
a708ce5a-98a4-4d0d-b3a8-897cbf85c823,3c0d199b-d494-4d5d-a60c-e8e2633ca653
4eabd172-2192-476c-9de9-74d54bd4c622,3c0d199b-d494-4d5d-a60c-e8e2633ca653
758de055-0f07-481a-909f-ac552626bc99,3c0d199b-d494-4d5d-a60c-e8e2633ca653
d2ee7218-425a-4a47-86ad-9c886bde31a6,3c0d199b-d494-4d5d-a60c-e8e2633ca653
f3ffc79c-4f9a-4a62-9657-974955dc637e,3c0d199b-d494-4d5d-a60c-e8e2633ca653
7738ed81-b23a-4cf3-808b-cb490d66d083,3c0d199b-d494-4d5d-a60c-e8e2633ca653
bec39873-8238-4e99-a802-a3e51e32b342,3c0d199b-d494-4d5d-a60c-e8e2633ca653
88fe9dfd-8ce7-47e1-a355-0e80a1bdf597,3c0d199b-d494-4d5d-a60c-e8e2633ca653
09668a89-ffd7-4638-abb5-4e079b4858c7,3c0d199b-d494-4d5d-a60c-e8e2633ca653
b63680b5-34e9-401b-8b59-159e3b2cbd26,3c0d199b-d494-4d5d-a60c-e8e2633ca653
b73f13d3-afc0-4fc7-8a63-3a2f04da8294,3c0d199b-d494-4d5d-a60c-e8e2633ca653
041bc0ec-16e2-4dda-b776-9333983782d9,3c0d199b-d494-4d5d-a60c-e8e2633ca653
38ab021d-04a2-46ae-a5ae-46723862ef9f,3c0d199b-d494-4d5d-a60c-e8e2633ca653
eeff41e7-ab07-426c-be72-f66e605d0b30,3c0d199b-d494-4d5d-a60c-e8e2633ca653
cbfb6ea9-a1c2-4857-94e6-7e71b5224b99,3c0d199b-d494-4d5d-a60c-e8e2633ca653
5e9fb36b-408f-4ed1-85e3-eb6e178def13,3c0d199b-d494-4d5d-a60c-e8e2633ca653
12ecc664-5e9c-453b-b5d3-12e8d1ef81a5,3c0d199b-d494-4d5d-a60c-e8e2633ca653
f8e16050-bdca-49e9-96b3-04f205e1827c,3c0d199b-d494-4d5d-a60c-e8e2633ca653
b5103af6-1755-463b-b363-6464a04dc93f,3c0d199b-d494-4d5d-a60c-e8e2633ca653
